,ID,class,formula,interface_atom,spacegroup,alphax_el,alphaz_el,ehull,a,dipole,density,dos_at_ef_nosoc,energy,hform,workfunction,efermi,evac,MagpieData mean Polarizability,MagpieData mean FirstIonizationEnergy,MagpieData mean CovalentRadius,MagpieData mean NValence,PymatgenData mean X,DemlData mean molar_vol,MagpieData mean Polarizability_A,MagpieData mean FirstIonizationEnergy_A,MagpieData mean Density_A,MagpieData mean MendeleevNumber_A,MagpieData mean CovalentRadius_A,MagpieData mean NsValence_A,MagpieData mean NValence_A,MagpieData mean NsUnfilled_A,PymatgenData mean X_A,PymatgenData mean atomic_radius_A,DemlData mean molar_vol_A,MagpieData mean Polarizability_interface,MagpieData mean NValence_interface
104,dd72772307a9e2b5eb59add2231c67f7,TMDC-T,Mn1 Se2,Se1,164,20.291247553551354,0.3935646564764684,0.0,3.494192075706706,3.6111936074679166e-09,1.8612238457751171,1.135591991516005,-18.090127219612643,-0.4692618531270251,5.088461902065354,-1.367430741652851,3.7210311604125024,5.646666666666667,8.9796,126.33333333333331,13.0,2.2166666666666663,13.396666666666668,9.4,7.43402,7470.0,52.0,139.0,2.0,7.0,0.0,1.55,1.4,7.35,3.77,16.0
105,ee619fc435015a0c7ed298af6faa90ea,TMDC-T,Mo1 S2,S1,164,75.91132251783806,0.3910669290744525,0.2769312458986602,3.188080277936215,3.7772311090106135e-10,1.6630119571659865,0.8600908421953837,-21.290311130739838,-0.6439962988542357,5.106470530383256,-0.5750562148114267,4.53141431557183,6.2,9.270816666666668,121.33333333333331,6.0,2.44,13.48,12.8,7.09243,10280.0,50.0,154.0,1.0,6.0,1.0,2.16,1.45,9.38,2.9,6.0
106,77ab5e6b0050fca23b22775047a6c7b5,TMDC-T,Nb1 Te2,Te1,164,105.07412587576384,0.4731743720598433,0.0280629256165288,3.6526132210410114,-2.1355137580711254e-10,2.6740206851046526,2.843345397230154,-18.032418308320874,-0.4321301661659049,4.642056762372711,-0.0967283421822372,4.545328420190474,8.9,8.25935,146.66666666666666,12.333333333333334,1.9333333333333336,17.25,15.7,6.75885,8570.0,47.0,164.0,1.0,5.0,1.0,1.6,1.45,10.83,5.5,16.0
107,d05eeb41897d3f35239c982a18c21725,TMDC-T,Pt1 Se2,Se1,164,7.067946025638867,0.3847451669148007,0.0,3.7482602007018313,-3.2179286886352177e-10,2.735001295594041,0.0,-14.559603637603868,-0.4133001782387969,5.013313672842856,-1.339008105224324,3.674305567618532,4.68,9.48786,125.33333333333331,18.666666666666668,2.4599999999999995,13.976666666666668,6.5,8.9588,21090.0,63.0,136.0,1.0,24.0,1.0,2.28,1.35,9.09,3.77,16.0
108,f2e37803d4ab9adb8c7a29baf84fff70,TMDC-T,Zr1 Te2,Te1,164,25.259560588499337,0.4504360192076563,0.0121353529330848,3.96809501763226,6.535785156624976e-14,2.268636508201403,1.0873333195215125,-16.466119597567086,-0.884506753962046,4.890580730560733,-0.8636778426851297,4.026902887875603,9.633333333333333,8.2177,150.33333333333334,12.0,1.8433333333333333,18.313333333333333,17.9,6.6339,6511.0,44.0,175.0,2.0,4.0,0.0,1.33,1.55,14.02,5.5,16.0
109,2d5621cdf5f61d64647f41aa6b5efe90,TMDC-T,Au1 S2,S1,164,81.58437932291454,0.6501848052517916,0.399701429054633,3.655559205667946,-3.994698648426586e-15,2.1239332462433977,3.537132452624968,-10.269158446557483,0.3389847948766729,5.462583673393375,-1.991323185419504,3.4712604879738715,3.8666666666666663,9.98185,115.33333333333331,12.333333333333334,2.566666666666667,13.756666666666666,5.8,9.22553,19300.0,66.0,136.0,1.0,25.0,1.0,2.54,1.35,10.21,2.9,6.0
110,d030e6a54b61c16896de864bcb566ab9,TMDC-T,Fe1 S2,S1,164,28.14019755368593,0.4404875153795712,0.2045129928029823,3.202729604463436,8.12073626863875e-10,1.2743533930343336,1.7639107506573326,-18.17540326743437,-0.3258588138014247,5.57394058715183,-1.6700042113497402,3.9039363758020897,4.733333333333333,9.540806666666668,114.0,6.666666666666667,2.33,12.716666666666669,8.4,7.9024,7874.0,55.0,132.0,2.0,8.0,0.0,1.83,1.4,7.09,2.9,6.0
111,bdd234dbd889bbc3c117217be93987ce,TMDC-T,Ir1 S2,S1,164,50.028333293004906,0.4187864551606123,0.177247795311023,3.558196041113287,-7.173466921126787e-10,2.2284815536728693,3.1154507295379443,-18.269625067132036,-0.2792537306094592,5.835394518109329,-2.11870159294773,3.716692925161598,4.466666666666666,9.89568,117.0,11.666666666666666,2.4533333333333336,13.193333333333332,7.6,8.96702,22560.0,60.0,141.0,2.0,23.0,0.0,2.2,1.35,8.52,2.9,6.0
112,95aede789c29d1c860ba649aba5b03f5,TMDC-T,Sc1 S2,S1,164,14.716662013634243,0.3664205423873415,0.3773803993685281,3.743844099386503,-1.383173949436186e-10,0.8410339896309144,2.9596486314483634,-16.570367551867935,-1.251491391705604,6.705232561285294,-3.565453409588638,3.1397791516966564,7.866666666666667,9.093836666666666,126.66666666666669,5.0,2.1733333333333333,15.353333333333332,17.8,6.56149,2985.0,11.0,170.0,2.0,3.0,0.0,1.36,1.6,15.0,2.9,6.0
113,bff8b2f0a15bb75fbf417120ac63fb5e,TMDC-T,V1 Te2,Te1,164,33.1351952917933,0.4553034810962955,0.0181918683182836,3.599851175175814,4.949722018547035e-09,2.4494734234971296,1.4804846007813883,-15.846084816951542,-0.3041416144615094,4.575137947957785,-0.2990233695469511,4.276114578410834,7.8,8.255130000000001,143.0,12.333333333333334,1.9433333333333331,16.413333333333334,12.4,6.74619,6110.0,46.0,153.0,2.0,5.0,0.0,1.63,1.35,8.32,5.5,16.0
114,9319b33f975aae24cb6ad914805bd1d0,TMDC-T,Co1 S2,S1,164,28.607837161960173,0.4248897387851666,0.1100732643244128,3.218976390461932,1.015687672159712e-12,1.2993891141949216,3.814093270750041,-17.21736317853492,-0.2774923449715167,5.924860616722405,-2.07653245574406,3.8483281609783457,4.433333333333334,9.533676666666668,112.0,7.0,2.3466666666666667,12.576666666666666,7.5,7.88101,8900.0,58.0,126.0,2.0,9.0,0.0,1.88,1.35,6.67,2.9,6.0
115,cd25860cb5f5fd9660eb74a12aae40ca,TMDC-T,Pd1 Se2,Se1,164,10.799209702920122,0.387385911737054,0.0259466971464839,3.734857560923645,2.167762296212163e-09,2.062343128854045,0.0,-11.579910747230102,-0.2647578832003283,5.158773111856402,-1.635456147489,3.5233169643674027,4.113333333333333,9.28056,126.33333333333331,14.0,2.433333333333333,13.800000000000002,4.8,8.3369,12023.0,62.0,139.0,0.0,10.0,0.0,2.2,1.4,8.56,3.77,16.0
116,10afbce62d682a233a5d3c40731a08c1,TMDC-T,Re1 S2,S1,164,77.18558888290863,0.3958617717418164,0.3720560676604426,3.0941979837659312,-4.5517710146512885e-10,2.7440692279533385,2.1292760507692137,-20.476469655462648,-0.2208957319508293,5.011776156223504,-0.1994780631270206,4.812298093096483,5.166666666666667,9.517846666666667,120.33333333333331,11.0,2.353333333333333,13.306666666666668,9.7,7.83352,21020.0,54.0,151.0,2.0,21.0,0.0,1.9,1.35,8.86,2.9,6.0
117,a886e9202084b56d6ae915846f7bcf1f,TMDC-T,Te2 Rh1,Te1,164,21.86567867615027,0.4799833888551004,0.111154550685218,3.7992539030097214,-5.621029511907254e-10,2.6508965059029417,1.9467051078900868,-14.574094436475018,-0.3390607438078046,5.008234193838701,-0.9106379668917534,4.097596226946948,6.533333333333334,8.492700000000001,139.33333333333334,13.666666666666666,2.16,16.400000000000002,8.6,7.4589,12450.0,59.0,142.0,1.0,9.0,1.0,2.28,1.35,8.28,5.5,16.0
118,e104a85217d9ed5808c9538968c52041,TMDC-T,Te2 Ru1,Te1,164,56.80264722862339,0.7834626309963616,0.3293124727305709,3.767373447129207,-3.2703252645125885e-10,2.652701250209557,3.9420531880903695,-15.89319128351216,-0.0067873680921325,4.753300353229561,-0.5827759302312661,4.170524422998295,6.866666666666667,8.4599,140.66666666666666,13.333333333333334,2.1333333333333333,16.363333333333333,9.6,7.3605,12370.0,56.0,146.0,1.0,8.0,1.0,2.2,1.3,8.17,5.5,16.0
119,bda5214b98d053a96ed9e844bf80552c,TMDC-T,Sc1 Se2,Se1,164,8.179864819064557,0.3829110220007167,0.0,3.867273918802376,8.217135042106924e-10,1.4430843842031105,2.509690569850527,-15.144051403722898,-1.1728950027906653,6.214432237328342,-2.926203384375115,3.288228852953228,8.446666666666667,8.688756666666666,136.66666666666666,11.666666666666666,2.1533333333333333,15.946666666666667,17.8,6.56149,2985.0,11.0,170.0,2.0,3.0,0.0,1.36,1.6,15.0,3.77,16.0
120,5c94dacff4bca30f12323c0507b3451f,TMDC-T,Ti1 S2,S1,164,9.953866539666024,0.3468173963246654,0.0,3.414379821522676,-6.457091390332625e-14,1.032108853334389,0.1546931132120741,-18.77306310957564,-1.3090601357515097,5.8010133556060826,-2.088193013870872,3.712820341735211,6.8,9.182713333333334,123.33333333333331,5.333333333333333,2.2333333333333334,13.9,14.6,6.82812,4507.0,43.0,160.0,2.0,4.0,0.0,1.54,1.4,10.64,2.9,6.0
